SCI;NO;EN
Lagopus leucura;hvithalerype;White-tailed Ptarmigan
Lagopus scotica;gælerrype;Red Grouse
Lagopus lagopus;lirype;Willow Ptarmigan
Lagopus muta;fjellrype;Rock Ptarmigan
Falcipennis falcipennis;amurjerpe;Siberian Grouse
Canachites canadensis;granjerpe;Spruce Grouse
Tetrao urogallus;storfugl;Western Capercaillie
Tetrao urogalloides;svartnebbstorfugl;Black-billed Capercaillie
Lyrurus tetrix;orrfugl;Black Grouse
Lyrurus mlokosiewiczi;kaukasusorrfugl;Caucasian Grouse
Rhizothera longirostris;langnebbhøne;Long-billed Partridge
Rhizothera dulitensis;dulithøne;Dulit Partridge
Perdix hodgsoniae;fjellrapphøne;Tibetan Partridge
Perdix perdix;rapphøne;Grey Partridge
Perdix dauurica;stepperapphøne;Daurian Partridge
Syrmaticus soemmerringii;kobberfasan;Copper Pheasant
Syrmaticus reevesii;kongefasan;Reeves's Pheasant
Syrmaticus mikado;mikadofasan;Mikado Pheasant
Syrmaticus ellioti;monarkfasan;Elliot's Pheasant
Syrmaticus humiae;burmafasan;Mrs. Hume's Pheasant
Chrysolophus pictus;gullfasan;Golden Pheasant
Chrysolophus amherstiae;diamantfasan;Lady Amherst's Pheasant
Phasianus colchicus;fasan;Common Pheasant
Phasianus versicolor;grønnfasan;Green Pheasant
Catreus wallichii;toppfasan;Cheer Pheasant
Crossoptilon harmani;gråfasan;Tibetan Eared Pheasant
Crossoptilon crossoptilon;hvitfasan;White Eared Pheasant
Crossoptilon mantchuricum;sotfasan;Brown Eared Pheasant
Crossoptilon auritum;blyfasan;Blue Eared Pheasant
Lophura edwardsi;edelfasan;Edwards's Pheasant
Lophura swinhoii;fagerfasan;Swinhoe's Pheasant
Lophura bulweri;brudefasan;Bulwer's Pheasant
Lophura leucomelanos;kalifasan;Kalij Pheasant
Lophura nycthemera;sølvfasan;Silver Pheasant
Lophura erythrophthalma;gulstjertfasan;Malayan Crestless Fireback
Lophura pyronota;melonstjertfasan;Bornean Crestless Fireback
Lophura diardi;pompongfasan;Siamese Fireback
Lophura inornata;sumatrafasan;Salvadori's Pheasant
Lophura rufa;væpnerfasan;Malayan Crested Fireback
Lophura ignita;ridderfasan;Bornean Crested Fireback
Rheinardia ocellata;dragefasan;Vietnamese Crested Argus
Rheinardia nigrescens;hantufasan;Malayan Crested Argus
Argusianus argus;argusfasan;Great Argus
