SCI;NO;EN
Synoicus adansonii;afrikablåvaktel;Blue Quail
Margaroperdix madagarensis;paljetthøne;Madagascar Partridge
Coturnix coturnix;vaktel;Common Quail
Coturnix japonica;engvaktel;Japanese Quail
Coturnix delegorguei;harlekinvaktel;Harlequin Quail
Coturnix coromandelica;regnvaktel;Rain Quail
Coturnix pectoralis;gressvaktel;Stubble Quail
Coturnix novaezelandiae;maorivaktel;New Zealand Quail
Alectoris barbara;berberhøne;Barbary Partridge
Alectoris melanocephala;araberhøne;Arabian Partridge
Alectoris rufa;rødhøne;Red-legged Partridge
Alectoris chukar;berghøne;Chukar Partridge
Alectoris graeca;steinhøne;Rock Partridge
Alectoris philbyi;svartstrupehøne;Philby's Partridge
Alectoris magna;qinghaihøne;Przevalski's Partridge
Perdicula asiatica;buskvaktel;Jungle Bush Quail
Perdicula argoondah;slettevaktel;Rock Bush Quail
Perdicula erythrorhyncha;hvitstrupevaktel;Painted Bush Quail
Perdicula manipurensis;manipurvaktel;Manipur Bush Quail
Ophrysia superciliosa;hvitbrynhøne;Himalayan Quail
Pternistis hartlaubi;steinfrankolin;Hartlaub's Spurfowl
Pternistis camerunensis;kamerunfrankolin;Mount Cameroon Spurfowl
Pternistis nobilis;edelfrankolin;Handsome Spurfowl
Pternistis castaneicollis;kastanjefrankolin;Chestnut-naped Spurfowl
Pternistis erckelii;storfrankolin;Erckel's Spurfowl
Pternistis ochropectus;djiboutifrankolin;Djibouti Spurfowl
Pternistis swierstrai;svartbrystfrankolin;Swierstra's Spurfowl
Pternistis ahantensis;ashantifrankolin;Ahanta Spurfowl
Pternistis griseostriatus;angolafrankolin;Grey-striped Spurfowl
Pternistis jacksoni;kikuyufrankolin;Jackson's Spurfowl
Pternistis adspersus;brillefrankolin;Red-billed Spurfowl
Pternistis capensis;kappfrankolin;Cape Spurfowl
Pternistis natalensis;shonafrankolin;Natal Spurfowl
Pternistis hildebrandti;bergfrankolin;Hildebrandt's Spurfowl
Pternistis bicalcaratus;hvitbrynfrankolin;Double-spurred Spurfowl
Pternistis squamatus;skyggefrankolin;Scaly Spurfowl
Pternistis icterorhynchus;termittfrankolin;Heuglin's Spurfowl
Pternistis clappertoni;savannefrankolin;Clapperton's Spurfowl
Pternistis harwoodi;dunkjevlefrankolin;Harwood's Spurfowl
Pternistis swainsonii;svartbeinfrankolin;Swainson's Spurfowl
Pternistis leucoscepus;gulstrupefrankolin;Yellow-necked Spurfowl
Pternistis rufopictus;serengetifrankolin;Grey-breasted Spurfowl
Pternistis afer;rødstrupefrankolin;Red-necked Spurfowl
Eurostopodus argus;argusnattravn;Spotted Nightjar
Eurostopodus mystacalis;eukalyptusnattravn;White-throated Nightjar
Eurostopodus nigripennis;salomonnattravn;Solomons Nightjar
Eurostopodus exul;kanaknattravn;New Caledonian Nightjar
Eurostopodus diabolicus;djevelnattravn;Satanic Nightjar
Eurostopodus papuensis;papuanattravn;Papuan Nightjar
Eurostopodus archboldi;bergnattravn;Archbold's Nightjar
Lyncornis temminckii;malaynattravn;Malaysian Eared Nightjar
Lyncornis macrotis;hornnattravn;Great Eared Nightjar
Gactornis enarratus;kragenattravn;Collared Nightjar
Chordeiles nacunda;nacundanatthauk;Nacunda Nighthawk
Chordeiles pusillus;tussenatthauk;Least Nighthawk
Chordeiles rupestris;sandnatthauk;Sand-colored Nighthawk
Chordeiles acutipennis;trillenatthauk;Lesser Nighthawk
Chordeiles minor;nordnatthauk;Common Nighthawk
Chordeiles gundlachii;antillnatthauk;Antillean Nighthawk
Lurocalis semitorquatus;dunkelnatthauk;Short-tailed Nighthawk
Lurocalis rufiventris;rustbuknatthauk;Rufous-bellied Nighthawk
Nyctiprogne leucopyga;dryadenatthauk;Band-tailed Nighthawk
Nyctiprogne vielliardi;kastanjenatthauk;Plain-tailed Nighthawk
Nyctipolus nigrescens;sotnattravn;Blackish Nightjar
Nyctipolus hirundinaceus;pygménattravn;Pygmy Nightjar
Nyctidromus albicollis;pauraquenattravn;Pauraque
Nyctidromus anthonyi;krattnattravn;Anthony's Nightjar
Setopagis heterura;marimbanattravn;Todd's Nightjar
Setopagis parvula;smånattravn;Little Nightjar
Setopagis whitelyi;tepuinattravn;Roraiman Nightjar
Setopagis maculosa;guyananattravn;Cayenne Nightjar
Eleothreptus anomalus;stumpnattravn;Sickle-winged Nightjar
Eleothreptus candicans;hvitvingenattravn;White-winged Nightjar
Systellura longirostris;glennenattravn;Band-winged Nightjar
Systellura decussata;chiasmanattravn;Tschudi's Nightjar
Uropsalis segmentata;svalenattravn;Swallow-tailed Nightjar
Uropsalis lyra;lyrenattravn;Lyre-tailed Nightjar
Hydropsalis cayennensis;hvithalenattravn;White-tailed Nightjar
Hydropsalis maculicaudus;flekkhalenattravn;Spot-tailed Nightjar
Hydropsalis climacocerca;gaffelnattravn;Ladder-tailed Nightjar
Hydropsalis torquata;saksenattravn;Scissor-tailed Nightjar
Macropsalis forcipata;slepnattravn;Long-trained Nightjar
Siphonorhis brewsteri;haitinattravn;Least Poorwill
Siphonorhis americana;jamaicanattravn;Jamaican Poorwill
Nyctiphrynus rosenbergi;choconattravn;Choco Poorwill
Nyctiphrynus mcleodii;dusknattravn;Eared Poorwill
Nyctiphrynus yucatanicus;yucatánnattravn;Yucatan Poorwill
Nyctiphrynus ocellatus;plettnattravn;Ocellated Poorwill
Phalaenoptilus nuttallii;dvalenattravn;Common Poorwill
Antrostomus carolinensis;karolinanattravn;Chuck-will's-widow
Antrostomus rufus;rustnattravn;Rufous Nightjar
Antrostomus cubanensis;kubanattravn;Cuban Nightjar
Antrostomus ekmani;hispaniolanattravn;Hispaniolan Nightjar
Antrostomus salvini;rustnakkenattravn;Tawny-collared Nightjar
Antrostomus badius;mayanattravn;Yucatan Nightjar
Antrostomus sericocaudatus;silkestjertnattravn;Silky-tailed Nightjar
Antrostomus ridgwayi;mexiconattravn;Buff-collared Nightjar
Antrostomus vociferus;eikenattravn;Eastern Whip-poor-will
Antrostomus arizonae;azteknattravn;Mexican Whip-poor-will
Antrostomus noctitherus;puertoriconattravn;Puerto Rican Nightjar
Antrostomus saturatus;costaricanattravn;Dusky Nightjar
Veles binotatus;brunnattravn;Brown Nightjar
Caprimulgus ruficollis;rødhalsnattravn;Red-necked Nightjar
Caprimulgus indicus;indianattravn;Jungle Nightjar
Caprimulgus jotaka;orientnattravn;Grey Nightjar
Caprimulgus phalaena;palaunattravn;Palau Nightjar
Caprimulgus europaeus;nattravn;European Nightjar
Caprimulgus fraenatus;busknattravn;Sombre Nightjar
Caprimulgus rufigena;rustkinnattravn;Rufous-cheeked Nightjar
Caprimulgus aegyptius;ørkennattravn;Egyptian Nightjar
Caprimulgus mahrattensis;sindnattravn;Sykes's Nightjar
Caprimulgus nubicus;nubianattravn;Nubian Nightjar
Caprimulgus eximius;gullnattravn;Golden Nightjar
Caprimulgus atripennis;yamanattravn;Jerdon's Nightjar
Caprimulgus macrurus;hamrenattravn;Large-tailed Nightjar
Caprimulgus meesi;floresnattravn;Mees's Nightjar
Caprimulgus ritae;timornattravn;Timor Nightjar
Caprimulgus andamanicus;andamannattravn;Andaman Nightjar
Caprimulgus manillensis;filippinernattravn;Philippine Nightjar
Caprimulgus celebensis;sulawesinattravn;Sulawesi Nightjar
Caprimulgus donaldsoni;tornnattravn;Donaldson Smith's Nightjar
Caprimulgus pectoralis;ildnakkenattravn;Fiery-necked Nightjar
Caprimulgus poliocephalus;fjellnattravn;Montane Nightjar
Caprimulgus asiaticus;bengalnattravn;Indian Nightjar
Caprimulgus madagascariensis;madagaskarnattravn;Madagascar Nightjar
Caprimulgus natalensis;sumpnattravn;Swamp Nightjar
Caprimulgus solala;nechisarnattravn;Nechisar Nightjar
Caprimulgus inornatus;sahelnattravn;Plain Nightjar
Caprimulgus stellatus;stjernenattravn;Star-spotted Nightjar
Caprimulgus affinis;gressnattravn;Savanna Nightjar
Caprimulgus griseatus;kvitrenattravn;Chirruping Nightjar
Caprimulgus tristigma;fregnenattravn;Freckled Nightjar
Caprimulgus concretus;sundanattravn;Bonaparte's Nightjar
Caprimulgus pulchellus;klippenattravn;Salvadori's Nightjar
Caprimulgus prigoginei;kivunattravn;Prigogine's Nightjar
Caprimulgus batesi;kongonattravn;Bates's Nightjar
Caprimulgus climacurus;langhalenattravn;Long-tailed Nightjar
Caprimulgus clarus;kilehalenattravn;Slender-tailed Nightjar
Caprimulgus fossii;bantunattravn;Square-tailed Nightjar
Caprimulgus longipennis;vimpelnattravn;Standard-winged Nightjar
Caprimulgus vexillarius;dragenattravn;Pennant-winged Nightjar
Steatornis caripensis;fettfugl;Oilbird
Phyllaemulor bracteatus;dvergpotu;Rufous Potoo
Nyctibius grandis;storpotu;Great Potoo
Nyctibius aethereus;langhalepotu;Long-tailed Potoo
Nyctibius jamaicensis;nordpotu;Northern Potoo
Nyctibius griseus;fløytepotu;Common Potoo
Nyctibius maculosus;andespotu;Andean Potoo
Nyctibius leucopterus;hvitvingepotu;White-winged Potoo
Podargus ocellatus;marmorfroskemunn;Marbled Frogmouth
Podargus papuensis;kjempefroskemunn;Papuan Frogmouth
Podargus strigoides;uglefroskemunn;Tawny Frogmouth
Rigidipenna inexpectata;salomonfroskemunn;Solomons Frogmouth
Batrachostomus auritus;kurrefroskemunn;Large Frogmouth
Batrachostomus harterti;dulitfroskemunn;Dulit Frogmouth
Batrachostomus septimus;bandolærfroskemunn;Philippine Frogmouth
Batrachostomus stellatus;stjernefroskemunn;Gould's Frogmouth
Batrachostomus moniliger;singaleserfroskemunn;Sri Lanka Frogmouth
Batrachostomus hodgsoni;burmafroskemunn;Hodgson's Frogmouth
Batrachostomus poliolophus;sumatrafroskemunn;Sumatran Frogmouth
Batrachostomus mixtus;borneofroskemunn;Bornean Frogmouth
Batrachostomus javensis;javafroskemunn;Javan Frogmouth
Batrachostomus affinis;malayfroskemunn;Blyth's Frogmouth
Batrachostomus chaseni;palawanfroskemunn;Palawan Frogmouth
Batrachostomus cornutus;sundafroskemunn;Sunda Frogmouth
Aegotheles insignis;storuglesvale;Feline Owlet-nightjar
Aegotheles tatei;prikkuglesvale;Starry Owlet-nightjar
Aegotheles crinifrons;molukkuglesvale;Moluccan Owlet-nightjar
Aegotheles wallacii;vatreuglesvale;Wallace's Owlet-nightjar
Aegotheles albertisi;berguglesvale;Mountain Owlet-nightjar
Aegotheles savesi;sotuglesvale;New Caledonian Owlet-nightjar
Aegotheles bennettii;nettuglesvale;Barred Owlet-nightjar
Aegotheles affinis;arfakuglesvale;Vogelkop Owlet-nightjar
Aegotheles terborghi;karimuiuglesvale;Karimui Owlet-nightjar
Aegotheles cristatus;australuglesvale;Australian Owlet-nightjar
Hemiprocne coronata;topptreseiler;Crested Treeswift
Hemiprocne longipennis;rustkinntreseiler;Grey-rumped Treeswift
Hemiprocne comata;dvergtreseiler;Whiskered Treeswift
Hemiprocne mystacea;mustasjetreseiler;Moustached Treeswift
Cypseloides cherriei;hvitflekkseiler;Spot-fronted Swift
Cypseloides cryptus;blekhakeseiler;White-chinned Swift
Cypseloides storeri;mestisseiler;White-fronted Swift
Cypseloides fumigatus;sotseiler;Sooty Swift
Cypseloides rothschildi;saltaseiler;Rothschild's Swift
Cypseloides niger;svartseiler;American Black Swift
Cypseloides lemosi;hvitbrystseiler;White-chested Swift
Cypseloides senex;fosseseiler;Great Dusky Swift
Streptoprocne phelpsi;tepuiseiler;Tepui Swift
Streptoprocne rutila;rødhalsseiler;Chestnut-collared Swift
Streptoprocne zonaris;halsbåndseiler;White-collared Swift
Streptoprocne biscutata;skjoldseiler;Biscutate Swift
Streptoprocne semicollaris;hvitnakkeseiler;White-naped Swift
Hydrochous gigas;storsalangan;Giant Swiftlet
Collocalia affinis;dunfotsalangan;Plume-toed Swiftlet
Collocalia marginata;grågumpsalangan;Grey-rumped Swiftlet
Collocalia isonota;fjellryggsalangan;Ridgetop Swiftlet
Collocalia sumbawae;nusatenggarasalangan;Tenggara Swiftlet
Collocalia neglecta;dunkelsalangan;Drab Swiftlet
Collocalia esculenta;glanssalangan;Glossy Swiftlet
Collocalia uropygialis;satengsalangan;Satin Swiftlet
Collocalia dodgei;kinabalusalangan;Bornean Swiftlet
Collocalia linchi;epidotsalangan;Cave Swiftlet
Collocalia natalis;christmassalangan;Christmas Swiftlet
Collocalia troglodytes;dvergsalangan;Pygmy Swiftlet
Aerodramus elaphrus;seychellsalangan;Seychelles Swiftlet
Aerodramus francicus;maskarenesalangan;Mascarene Swiftlet
Aerodramus unicolor;indiasalangan;Indian Swiftlet
Aerodramus mearnsi;filippinersalangan;Philippine Swiftlet
Aerodramus infuscatus;halmaherasalangan;Moluccan Swiftlet
Aerodramus hirundinaceus;bergsalangan;Mountain Swiftlet
Aerodramus spodiopygius;melanesiasalangan;White-rumped Swiftlet
Aerodramus terraereginae;australsalangan;Australian Swiftlet
Aerodramus brevirostris;orientsalangan;Himalayan Swiftlet
Aerodramus vulcanorum;vulkansalangan;Volcano Swiftlet
Aerodramus whiteheadi;storhodesalangan;Whitehead's Swiftlet
Aerodramus nuditarsus;nakenbeinsalangan;Bare-legged Swiftlet
Aerodramus orientalis;enigmasalangan;Mayr's Swiftlet
Aerodramus salangana;sundasalangan;Mossy-nest Swiftlet
Aerodramus vanikorensis;monsunsalangan;Uniform Swiftlet
Aerodramus amelis;gråsalangan;Ameline Swiftlet
Aerodramus pelewensis;palausalangan;Palau Swiftlet
Aerodramus bartschi;marianesalangan;Mariana Swiftlet
Aerodramus inquietus;karolinesalangan;Caroline Swiftlet
Aerodramus leucophaeus;tahitisalangan;Tahiti Swiftlet
Aerodramus sawtelli;atiusalangan;Atiu Swiftlet
Aerodramus ocistus;marquesassalangan;Marquesan Swiftlet
Aerodramus maximus;malaysalangan;Black-nest Swiftlet
Aerodramus fuciphagus;reirsuppesalangan;Edible-nest Swiftlet
Aerodramus papuensis;papuasalangan;Three-toed Swiftlet
Schoutedenapus myoptilus;bergseiler;Scarce Swift
Mearnsia picina;hvitvingeseiler;Philippine Spinetail
Mearnsia novaeguineae;papuaseiler;Papuan Spinetail
Zoonavena grandidieri;madagaskarseiler;Madagascar Spinetail
Zoonavena thomensis;saotomeseiler;Sao Tome Spinetail
Zoonavena sylvatica;hinduseiler;White-rumped Spinetail
Telacanthura ussheri;baobabseiler;Mottled Spinetail
Telacanthura melanopygia;jungelseiler;Black Spinetail
Rhaphidura leucopygialis;sølvgumpseiler;Silver-rumped Spinetail
Rhaphidura sabini;hvitbukseiler;Sabine's Spinetail
Neafrapus cassini;stumpseiler;Cassin's Spinetail
Neafrapus boehmi;flaggermusseiler;Böhm's Spinetail
Hirundapus caudacutus;pigghaleseiler;White-throated Needletail
Hirundapus cochinchinensis;sølvryggseiler;Silver-backed Needletail
Hirundapus giganteus;brunryggseiler;Brown-backed Needletail
Hirundapus celebensis;glansseiler;Purple Needletail
Chaetura cinereiventris;grågumpseiler;Grey-rumped Swift
Chaetura spinicaudus;kolibriseiler;Band-rumped Swift
Chaetura martinica;antillseiler;Lesser Antillean Swift
Chaetura fumosa;røykseiler;Costa Rican Swift
Chaetura egregia;selvasseiler;Pale-rumped Swift
Chaetura pelagica;skorsteinsseiler;Chimney Swift
Chaetura vauxi;brunseiler;Vaux's Swift
Chaetura chapmani;guyanaseiler;Chapman's Swift
Chaetura andrei;venezuelaseiler;Ashy-tailed Swift
Chaetura meridionalis;askeseiler;Sick's Swift
Chaetura brachyura;korthaleseiler;Short-tailed Swift
Aeronautes saxatalis;mesaseiler;White-throated Swift
Aeronautes montivagus;hvittippseiler;White-tipped Swift
Aeronautes andecolus;andesseiler;Andean Swift
Tachornis phoenicobia;karibseiler;Antillean Palm Swift
Tachornis furcata;zuliaseiler;Pygmy Palm Swift
Tachornis squamata;moricheseiler;Fork-tailed Palm Swift
Panyptila sanctihieronymi;storsvaleseiler;Great Swallow-tailed Swift
Panyptila cayennensis;småsvaleseiler;Lesser Swallow-tailed Swift
Cypsiurus parvus;afrikapalmeseiler;African Palm Swift
Cypsiurus gracilis;gasserpalmeseiler;Malagasy Palm Swift
Cypsiurus balasiensis;asiapalmeseiler;Asian Palm Swift
Tachymarptis melba;alpeseiler;Alpine Swift
Tachymarptis aequatorialis;granittseiler;Mottled Swift
Apus alexandri;kappverdeseiler;Cape Verde Swift
Apus apus;tårnseiler;Common Swift
Apus unicolor;kanariseiler;Plain Swift
Apus niansae;klippeseiler;Nyanza Swift
Apus pallidus;gråseiler;Pallid Swift
Apus barbatus;bekseiler;African Black Swift
Apus balstoni;gasserseiler;Malagasy Black Swift
Apus sladeniae;iboseiler;Fernando Po Swift
Apus berliozi;somaliseiler;Forbes-Watson's Swift
Apus bradfieldi;namibseiler;Bradfield's Swift
Apus pacificus;gaffelseiler;Pacific Swift
Apus salimalii;tibetseiler;Salim Ali's Swift
Apus leuconyx;shivaseiler;Blyth's Swift
Apus cooki;buddhaseiler;Cook's Swift
Apus acuticauda;khasiseiler;Dark-rumped Swift
Apus affinis;småseiler;Little Swift
Apus nipalensis;husseiler;House Swift
Apus horus;horusseiler;Horus Swift
Apus caffer;hvitgumpseiler;White-rumped Swift
Apus batesi;kamerunseiler;Bates's Swift
Topaza pella;karmintopas;Crimson Topaz
Topaza pyra;flammetopas;Fiery Topaz
Florisuga mellivora;hvitnakkekolibri;White-necked Jacobin
Florisuga fusca;svartkolibri;Black Jacobin
Eutoxeres aquila;grønnsigderemitt;White-tipped Sicklebill
Eutoxeres condamini;ruststjertsigderemitt;Buff-tailed Sicklebill
Ramphodon naevius;sagnebberemitt;Saw-billed Hermit
Glaucis dohrnii;bahiaeremitt;Hook-billed Hermit
Glaucis aeneus;bronseeremitt;Bronzy Hermit
Glaucis hirsutus;rustbrysteremitt;Rufous-breasted Hermit
Threnetes ruckeri;båndstjerteremitt;Band-tailed Barbthroat
Threnetes leucurus;skjeggstubberemitt;Pale-tailed Barbthroat
Threnetes niger;soteremitt;Sooty Barbthroat
Anopetia gounellei;caatingaeremitt;Broad-tipped Hermit
Phaethornis squalidus;smusseremitt;Dusky-throated Hermit
Phaethornis rupurumii;strekstrupeeremitt;Streak-throated Hermit
Phaethornis longuemareus;småeremitt;Little Hermit
Phaethornis aethopygus;tapajoseremitt;Tapajos Hermit
Phaethornis idaliae;dvergeremitt;Minute Hermit
Phaethornis nattereri;kanelstrupeeremitt;Cinnamon-throated Hermit
Phaethornis atrimentalis;mørkstrupeeremitt;Black-throated Hermit
Phaethornis striigularis;stripestrupeeremitt;Stripe-throated Hermit
Phaethornis griseogularis;gråstrupeeremitt;Grey-chinned Hermit
Phaethornis ruber;rusteremitt;Reddish Hermit
Phaethornis stuarti;aymaraeremitt;White-browed Hermit
Phaethornis subochraceus;okerbukeremitt;Buff-bellied Hermit
Phaethornis augusti;sotkroneeremitt;Sooty-capped Hermit
Phaethornis pretrei;planaltoeremitt;Planalto Hermit
Phaethornis eurynome;skjellstrupeeremitt;Scale-throated Hermit
Phaethornis anthophilus;lysbukeremitt;Pale-bellied Hermit
Phaethornis hispidus;hvitskjeggeremitt;White-bearded Hermit
Phaethornis yaruqui;kårdeeremitt;White-whiskered Hermit
Phaethornis guy;grønneremitt;Green Hermit
Phaethornis syrmatophorus;sjaketteremitt;Tawny-bellied Hermit
Phaethornis koepckeae;inkaeremitt;Koepcke's Hermit
Phaethornis philippii;nåleremitt;Needle-billed Hermit
Phaethornis bourcieri;floretteremitt;Straight-billed Hermit
Phaethornis mexicanus;mexicoeremitt;Mexican Hermit
Phaethornis longirostris;langnebberemitt;Long-billed Hermit
Phaethornis superciliosus;stjerteremitt;Long-tailed Hermit
Phaethornis malaris;stornebberemitt;Great-billed Hermit
Doryfera ludovicae;grønnpannelansenebb;Green-fronted Lancebill
Doryfera johannae;blåpannelansenebb;Blue-fronted Lancebill
Schistes albogularis;hvithalskilenebb;White-throated Daggerbill
Schistes geoffroyi;glitterhalskilenebb;Geoffroy's Daggerbill
Augastes scutatus;hyasintkolibri;Hyacinth Visorbearer
Augastes lumachella;visirkolibri;Hooded Visorbearer
Colibri delphinae;brunkolibri;Brown Violetear
Colibri thalassinus;talassinkolibri;Mexican Violetear
Colibri cyanotus;blåørekolibri;Lesser Violetear
Colibri coruscans;fiolørekolibri;Sparkling Violetear
Colibri serrirostris;hvitgumpkolibri;White-vented Violetear
Androdon aequatorialis;heklenebbkolibri;Tooth-billed Hummingbird
Heliactin bilophus;hornkolibri;Horned Sungem
Heliothryx barroti;purpurkronealv;Purple-crowned Fairy
Heliothryx auritus;grønnkronealv;Black-eared Fairy
Polytmus guainumbi;guainumbikolibri;White-tailed Goldenthroat
Polytmus milleri;tepuikolibri;Tepui Goldenthroat
Polytmus theresiae;grønnkolibri;Green-tailed Goldenthroat
Avocettula recurvirostris;knaggnebbkolibri;Fiery-tailed Awlbill
Chrysolampis mosquitus;rubintopas;Ruby-topaz Hummingbird
Anthracothorax mango;ametystmango;Jamaican Mango
Anthracothorax viridigula;grønnstrupemango;Green-throated Mango
Anthracothorax prevostii;kullstrupemango;Green-breasted Mango
Anthracothorax veraguensis;blåstrupemango;Veraguan Mango
Anthracothorax nigricollis;svartbrystmango;Black-throated Mango
Anthracothorax dominicus;antillmango;Hispaniolan Mango
Anthracothorax aurulentus;gyllenmango;Puerto Rican Mango
Anthracothorax viridis;smaragdmango;Green Mango
Eulampis holosericeus;grønnkarib;Green-throated Carib
Eulampis jugularis;purpurkarib;Purple-throated Carib
Heliangelus mavors;gyllensolengel;Orange-throated Sunangel
Heliangelus amethysticollis;amestystsolengel;Amethyst-throated Sunangel
Heliangelus clarisse;santandersolengel;Longuemare's Sunangel
